Date,Close,High,Low,Open,Volume
10-04-2015,236.072,243.694,232.771,243.694,28882000
11-04-2015,236.552,239.537,234.175,236.016,16365200
12-04-2015,236.153,237.728,233.495,236.535,12387900
13-04-2015,224.587,236.935,221.996,235.95,31181800
14-04-2015,219.159,224.976,216.323,224.759,31719000
15-04-2015,223.833,223.833,218.649,219.073,22562000
16-04-2015,228.573,229.672,223.917,223.917,24805400
17-04-2015,222.882,228.906,221.942,228.575,20429800
18-04-2015,223.356,224.316,220.876,222.853,12939000
19-04-2015,222.6,226.353,222.373,223.456,15021500
20-04-2015,224.626,226.351,221.977,222.612,18364700
21-04-2015,235.269,235.269,224.301,224.62,24978000
22-04-2015,234.176,237.909,233.476,235.602,23847900
23-04-2015,236.462,236.475,233.199,234.053,17036000
24-04-2015,231.268,236.305,229.933,235.97,21448700
25-04-2015,226.39,232.561,226.337,231.235,13957200
26-04-2015,219.43,226.944,214.874,226.41,28943700
27-04-2015,229.286,233.305,218.023,219.429,38574000
28-04-2015,225.855,229.495,223.069,228.969,21469200
29-04-2015,225.808,227.04,223.43,225.591,18936500
30-04-2015,236.145,239.563,224.993,225.693,33818600
01-05-2015,232.079,238.966,232.079,235.939,18815300
02-05-2015,234.93,235.727,232.341,232.341,12535500
03-05-2015,240.358,243.24,234.083,234.88,18494100
04-05-2015,239.018,242.638,237.81,240.356,21223400
05-05-2015,236.121,239.204,232.054,238.852,23929100
06-05-2015,229.782,236.454,229.231,236.249,29587200
07-05-2015,237.334,239.105,228.573,229.662,29064400
08-05-2015,243.863,246.275,236.274,237.204,27445500
09-05-2015,241.832,247.804,239.639,243.769,19790500
10-05-2015,240.296,244.068,238.849,241.729,15019100
11-05-2015,242.158,244.27,239.376,240.299,20892300
12-05-2015,241.112,242.881,240.099,242.145,19282600
13-05-2015,236.377,243.704,235.045,241.398,27180100
14-05-2015,236.929,237.799,234.057,236.214,24413700
15-05-2015,237.605,238.753,236.795,236.955,16329400
16-05-2015,236.153,237.697,235.295,237.644,11089700
17-05-2015,236.802,238.025,236.01,236.01,11134300
18-05-2015,233.128,237.21,232.46,236.887,16780300
19-05-2015,231.947,234.151,231.817,233.037,14241900
20-05-2015,234.018,234.683,231.842,231.89,15499400
21-05-2015,235.344,236.242,233.835,234.016,15108900
22-05-2015,240.348,240.969,235.06,235.321,27003000
23-05-2015,238.872,241.025,238.691,240.286,14605000
24-05-2015,240.953,241.978,238.811,238.976,11508000
25-05-2015,237.11,241.021,236.637,240.927,14423900
26-05-2015,237.116,238.242,235.692,237.104,16425000
27-05-2015,237.283,238.636,236.695,237.065,18837000
28-05-2015,237.408,237.824,236.652,237.257,13829600
29-05-2015,237.096,237.522,235.731,237.377,14805000
30-05-2015,233.345,237.093,232.046,237.092,14098600
31-05-2015,230.19,233.252,229.542,233.135,14730800
01-06-2015,222.926,231.713,221.296,230.233,26090500
02-06-2015,225.803,226.416,222.419,222.894,20459000
03-06-2015,225.874,227.404,223.93,225.736,17752400
04-06-2015,224.324,226.581,224.054,225.772,14728100
05-06-2015,224.952,225.968,223.179,224.154,18056500
06-06-2015,225.619,225.719,224.379,225.005,11131500
07-06-2015,222.881,226.194,222.652,225.596,13318400
08-06-2015,228.489,229.464,222.839,222.879,23378400
09-06-2015,229.048,230.954,227.929,228.538,28353100
10-06-2015,228.803,229.782,228.01,228.995,15904800
11-06-2015,229.705,230.287,228.767,228.855,14416000
12-06-2015,229.982,231.057,229.313,229.705,14017700
13-06-2015,232.402,232.652,229.21,229.92,13305300
14-06-2015,233.543,234.858,232.004,232.442,12165900
15-06-2015,236.823,237.836,233.422,233.422,19912100
16-06-2015,250.895,251.742,236.122,236.765,41612000
17-06-2015,249.284,256.853,246.476,250.823,43858400
18-06-2015,249.007,252.108,244.127,249.428,30980200
19-06-2015,244.606,250.977,243.787,249.043,23965300
20-06-2015,245.212,245.828,240.627,244.53,20608100
21-06-2015,243.944,245.224,241.882,245.1,10600900
22-06-2015,246.99,247.917,243.779,243.969,17692500
23-06-2015,244.296,247.304,243.133,246.927,15108700
24-06-2015,240.515,244.341,240.515,244.282,17344900
25-06-2015,242.799,243.332,240.365,240.365,16133100
26-06-2015,243.594,243.749,241.553,242.604,13983500
27-06-2015,250.99,251.339,243.117,243.549,20488600
28-06-2015,249.011,251.172,247.434,250.955,15137600
29-06-2015,257.064,257.173,248.581,248.721,34742900
30-06-2015,263.072,267.867,255.946,257.036,44533800
01-07-2015,258.621,265.172,255.774,263.345,27029800
02-07-2015,255.412,261.631,254.116,258.552,21551900
03-07-2015,256.336,257.077,253.505,255.459,19033800
04-07-2015,260.886,261.457,254.2,256.491,15620400
05-07-2015,271.913,274.506,258.701,260.805,44156100
06-07-2015,269.03,277.422,267.6,271.108,49154800
07-07-2015,266.207,271.341,264.832,269.963,28857600
08-07-2015,270.785,272.971,264.386,265.982,36980200
09-07-2015,269.228,272.335,267.086,270.827,40301200
10-07-2015,284.894,294.591,268.802,269.156,100390000
11-07-2015,293.115,298.506,283.53,284.88,41109900
12-07-2015,310.867,314.394,292.505,293.14,56405000
13-07-2015,292.054,310.948,281.011,310.827,62053900
14-07-2015,287.464,296.147,286.638,292.034,28727200
15-07-2015,285.829,293.248,285.367,288.045,27486600
16-07-2015,278.089,291.183,275.24,286.042,49482600
17-07-2015,279.472,280.28,272.043,278.091,27591400
18-07-2015,274.901,282.527,274.075,279.331,25187100
19-07-2015,273.614,275.67,272.513,274.767,15332500
20-07-2015,278.981,278.981,272.96,273.499,22711400
21-07-2015,275.833,280.547,275.419,278.882,22930700
22-07-2015,277.222,277.666,274.381,275.657,19389800
23-07-2015,276.049,278.111,275.716,277.341,18531300
24-07-2015,288.278,289.253,275.254,276.005,37199400
25-07-2015,288.697,290.733,286.002,288.164,20662200
26-07-2015,292.686,293.052,287.706,288.64,16032300
27-07-2015,293.624,297.774,287.45,292.639,30592000
28-07-2015,294.427,296.649,293.423,293.633,25453600
29-07-2015,289.59,294.536,288.777,294.484,24672600
30-07-2015,287.722,290.126,286.568,289.103,21635800
31-07-2015,284.65,288.959,282.344,287.696,23629100
01-08-2015,281.601,284.932,278.112,284.686,18995000
02-08-2015,282.614,283.032,277.529,280.449,17722200
03-08-2015,281.227,285.471,280.233,282.806,21474100
04-08-2015,285.218,285.715,281.225,281.225,21908700
05-08-2015,281.882,285.501,281.488,284.847,20128000
06-08-2015,278.577,281.906,278.403,281.906,18792100
07-08-2015,279.585,280.392,276.366,278.741,42484800
08-08-2015,260.997,279.928,260.71,279.742,58533000
09-08-2015,265.083,267.003,260.468,261.116,23789600
10-08-2015,264.47,267.032,262.596,265.478,20979400
11-08-2015,270.386,270.386,264.094,264.342,25433900
12-08-2015,266.376,270.673,265.469,270.598,26815400
13-08-2015,264.08,266.232,262.841,266.183,27685500
14-08-2015,265.68,267.466,261.478,264.132,27091200
15-08-2015,261.551,266.667,261.296,265.529,19321100
16-08-2015,258.507,262.44,257.041,261.866,29717000
17-08-2015,257.976,260.505,257.117,258.49,21617900
18-08-2015,211.079,257.993,211.079,257.926,42147200
19-08-2015,226.684,237.409,222.766,225.671,60869200
20-08-2015,235.35,237.365,226.899,226.899,32275000
21-08-2015,232.569,236.432,231.724,235.355,23173800
22-08-2015,230.39,234.957,222.704,232.662,23205900
23-08-2015,228.169,232.705,225.58,230.376,18406600
24-08-2015,210.495,228.139,210.443,228.112,59220700
25-08-2015,221.609,226.321,199.567,210.068,61089200
26-08-2015,225.831,231.183,220.204,222.076,31808000
27-08-2015,224.769,228.643,223.684,226.05,21905400
28-08-2015,231.396,235.219,220.926,224.701,31336600
29-08-2015,229.78,233.222,227.33,231.549,17142500
30-08-2015,228.761,232.068,226.247,229.895,19412600
31-08-2015,230.056,231.956,225.915,229.114,20710700
01-09-2015,228.121,231.216,226.86,230.256,20575200
02-09-2015,229.284,230.577,226.475,228.027,18760400
03-09-2015,227.183,229.605,226.667,229.324,17482000
04-09-2015,230.298,230.9,227.051,227.215,20962400
05-09-2015,235.019,236.143,229.443,230.199,20671400
06-09-2015,239.84,242.912,234.681,234.87,25473700
07-09-2015,239.847,242.106,238.722,239.934,21192200
08-09-2015,243.607,245.781,239.678,239.846,26879200
09-09-2015,238.168,244.416,237.821,243.415,23635700
10-09-2015,238.477,241.293,235.791,238.336,21215500
11-09-2015,240.107,241.169,238.329,238.329,19224700
12-09-2015,235.229,240.124,234.754,239.855,17962600
13-09-2015,230.512,235.935,229.332,235.242,18478800
14-09-2015,230.644,232.44,227.961,230.609,20997800
15-09-2015,230.304,259.182,229.822,230.492,19177800
16-09-2015,229.091,231.215,227.402,230.25,20144200
17-09-2015,229.81,230.285,228.926,229.076,18935400
18-09-2015,232.975,234.353,232.185,233.521,20242200
19-09-2015,231.493,233.205,231.089,232.858,12712600
20-09-2015,231.212,232.365,230.91,231.399,14444700
21-09-2015,227.085,231.217,226.521,231.217,19678800
22-09-2015,230.618,232.386,225.117,226.969,25009300
23-09-2015,230.283,231.835,229.591,230.936,17254100
24-09-2015,234.529,235.649,230.295,230.358,25097800
25-09-2015,235.144,237.427,233.684,234.362,22363600
26-09-2015,234.34,235.403,233.358,235.076,13724100
27-09-2015,232.757,234.526,232.476,234.139,14179900
28-09-2015,239.142,239.339,232.467,232.836,24713000
29-09-2015,236.687,239.802,235.928,239.016,22691300
30-09-2015,236.06,237.734,235.629,236.64,19743500
01-10-2015,237.549,238.445,235.616,236.004,20488800
02-10-2015,237.293,238.541,236.603,237.264,19677900
03-10-2015,238.73,239.315,236.944,237.202,16482700
04-10-2015,238.259,238.968,237.94,238.531,12999000
05-10-2015,240.383,240.383,237.035,238.147,23335900
06-10-2015,246.063,246.935,240.136,240.364,27535100
07-10-2015,242.969,246.681,242.585,246.17,22999200
08-10-2015,242.304,244.251,242.179,243.075,18515300
09-10-2015,243.931,244.228,242.122,242.498,17353100
10-10-2015,244.941,245.319,243.074,243.74,15912700
11-10-2015,247.05,247.243,244.152,244.742,16827300
12-10-2015,245.308,247.454,245.179,246.875,17388300
13-10-2015,249.508,250.236,243.757,245.2,28198500
14-10-2015,251.989,254.275,248.903,249.493,27462600
15-10-2015,254.32,255.962,252.046,252.107,25223500
16-10-2015,262.869,266.135,253.926,254.296,35901500
17-10-2015,270.64,273.578,262.367,262.747,43199600
18-10-2015,261.643,271.668,260.777,270.907,22434300
19-10-2015,263.437,264.82,260.951,261.861,25258800
20-10-2015,269.463,270.835,263.227,263.572,30889800
21-10-2015,266.272,270.77,263.839,269.306,25637300
22-10-2015,274.023,276.51,266.135,266.496,37808600
23-10-2015,276.496,278.684,273.543,273.649,29442500
24-10-2015,281.654,281.706,276.504,276.504,25942400
25-10-2015,283.68,294.059,281.445,281.445,45717100
26-10-2015,285.3,285.3,280.51,283.628,32108800
27-10-2015,293.788,296.212,285.008,285.181,46331800
28-10-2015,304.618,306.331,293.703,293.703,50808100
29-10-2015,313.855,318.17,301.823,304.324,64495900
30-10-2015,328.015,334.169,313.94,313.943,78305000
31-10-2015,314.166,332.777,309.251,328.512,48598100
01-11-2015,325.431,327.472,311.881,315.005,37001100
02-11-2015,361.189,365.36,323.209,325.942,101918000
03-11-2015,403.417,417.9,357.647,361.873,206162000
04-11-2015,411.563,495.562,380.548,403.664,263900000
05-11-2015,386.354,447.561,374.581,408.077,151824992
06-11-2015,374.47,395.836,354.025,388.047,122687000
07-11-2015,386.482,390.586,372.433,374.269,56625100
08-11-2015,373.368,389.895,368.7,384.278,51817600
09-11-2015,380.257,385.278,362.895,374.324,68224400
